time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel,label
71.39261599999999,81,80,8061,5380,17259,17454,10495,18369,9531,7203,0,0,0
72.39555800000001,70,81,2198,15965,28099,6035,10285,12095,5923,11225,0,0,0
73.3976594,80,75,9260,31882,7377,21791,15061,25318,6440,12012,0,0,0
74.3984526,70,77,18483,15492,2439,8746,4714,10284,8986,5653,0,0,0
75.39966600000001,57,74,13095,12101,18692,3746,10107,4842,10728,7032,0,0,0
76.40184860000001,67,61,14477,19365,3245,12041,3789,21922,10877,4029,0,0,0
77.40415349999999,61,75,20233,12217,15815,25304,7493,11302,13962,16321,0,0,0
78.40531969999999,61,67,27647,41027,10359,4403,14321,20140,11151,4009,0,0,0
79.40819330000001,61,63,10904,52702,28294,11110,12313,14073,11075,5773,0,0,0
80.4113953,51,69,31524,19395,10349,12722,6457,9702,11027,15187,0,0,0
81.4137655,63,53,57986,43778,18905,5488,9911,41944,7669,20794,0,0,0
82.41535119999999,57,69,28123,16683,28367,4458,7058,13280,9638,4290,0,0,0
83.4168098,69,74,13446,16372,18332,5176,3843,15526,9188,4319,0,0,0
84.4181436,84,57,18756,22225,10251,1476,6432,33071,11762,11629,0,0,0
85.41919800000001,88,64,26379,15938,24446,2470,10640,34311,15049,8004,0,0,0
86.4206722,94,47,41848,31885,5618,4146,6701,20970,9425,8342,0,0,0
87.42331850000001,100,43,13090,7049,9232,3872,6726,11966,9802,11227,0,0,0
88.42594570000001,91,63,43048,15552,22366,8734,2994,38058,10555,11641,0,0,0
90.4279571,83,74,260776,15964,5587,3809,2389,5957,1735,3941,0,0,0
91.4299828,77,75,59607,15599,10512,9005,4953,11265,29869,14677,0,0,0
92.4321415,64,54,56305,63148,8922,3655,9927,12268,8147,3844,0,0,0
93.4335069,67,54,17078,18421,11655,3661,11749,36252,7079,7736,0,0,0
94.4345823,70,63,34568,8726,31699,43957,14066,37321,8847,5954,0,0,0
97.4378817,60,64,237687,107568,3367,15965,6344,6572,6551,1668,0,0,0
98.4397563,66,57,47076,13148,16763,5139,5136,16097,16333,10550,0,0,0
99.4416781,44,60,513639,78837,20430,4783,10702,13988,22550,5750,0,0,0
100.4439475,40,53,21226,24808,32526,4205,5477,17121,7491,9602,0,0,0
101.4453517,64,63,73003,7091,12236,2313,3083,3764,4112,1226,0,0,0
102.4473777,66,74,101815,67617,24069,33685,15207,22746,15500,4486,0,0,0
103.4492982,70,60,158981,48141,12887,7639,10459,28020,2762,8780,0,0,0
104.4503881,41,61,244758,87675,13201,16677,25332,10984,3372,6588,0,0,0
105.4517161,56,48,6985,9974,4527,9871,22207,15490,3888,12115,0,0,0
108.4549366,61,57,36998,9936,47696,16338,15406,22456,11852,11755,0,0,0
109.4563878,50,57,15480,119393,20399,18303,17131,19291,12076,8658,0,0,0
110.45901630000002,69,66,66722,20283,16382,12052,13717,27126,9316,10869,0,0,0
111.4608595,63,74,48659,21935,16946,20150,15351,22813,14585,11232,0,0,0
112.46194,40,56,3169305,532659,128379,62933,36552,23623,60657,18312,0,0,0
113.4649915,38,56,312021,116595,23501,17299,26967,14919,9695,20665,0,0,0
114.4662564,37,63,6411,20268,47145,11270,5770,41570,11485,21381,0,0,0
115.46739180000002,10,53,150837,122635,27141,5298,2520,3658,3994,2371,0,0,0
118.4723795,48,54,743504,114956,66939,44158,80005,39588,31120,25253,0,0,0
122.4775393,27,50,46617,12588,1609,5661,561,1259,2943,1504,0,0,0
123.4796161,41,44,56751,68969,8309,4163,4091,8004,7069,3033,0,0,0
125.481807,26,47,989235,104315,4576,28463,17199,21182,42889,28660,0,0,0
126.4839524,21,44,186981,189207,49338,43114,11315,26894,13671,7965,0,0,0
127.4854019,37,23,69705,101139,4016,6496,16503,30534,13192,13165,0,0,0
128.4871233,56,35,16230,8063,14521,3753,10135,19630,3476,8295,0,0,0
129.4895105,61,51,13415,21819,43667,13240,11825,17664,5385,4752,0,0,0
130.4913873,70,57,101846,8824,2402,13262,5736,6934,3343,8134,0,0,0
131.49695960000005,70,88,2036,8424,9730,19096,7243,11134,5154,7596,0,0,0
132.4989516,54,94,16209,27352,24341,17861,9173,9257,5301,13414,0,0,0
136.5061179,43,80,50960,28386,4258,6276,6711,2728,1435,1370,0,0,0
137.5076859,24,78,11853,66196,23555,21551,9034,5953,4794,5594,0,0,0
138.510179,11,69,58023,120904,54438,23898,19771,15328,14048,9105,0,0,0
139.5125987,16,57,174938,11059,4450,2500,5629,3374,2523,2482,0,0,0
140.51418360000002,43,61,51689,12555,8390,7631,10235,27021,11975,15633,0,0,0
141.51580890000002,64,64,12120,3819,10606,11210,6756,28852,8022,6240,0,0,0
142.51759000000004,69,61,16494,14385,10309,7193,4615,11624,10088,7812,0,0,0
145.52190380000002,97,66,11780,10502,9790,4659,4753,17105,10855,21208,0,0,0
146.5234024,100,69,28079,4046,4727,5904,3206,13275,8588,10932,0,0,0
147.5268031,88,78,25960,11054,45935,2769,5898,21758,6027,9125,0,0,0
