time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
193.64907869999297,48,48,647982,23774,12321,17774,5588,9925,2179,3958,0,0
198.6694716999773,41,44,864610,296128,24626,39693,75601,16678,7082,10066,0,0
199.67049549997319,38,41,155636,57789,3144,3742,8759,4811,2615,1689,0,0
201.672866399982,29,40,1273931,74727,41724,21798,16009,11735,15482,9105,0,0
202.6744205999421,34,35,674328,228670,45969,28858,29164,27871,9572,8291,0,0
206.6794095999794,27,35,2688423,447352,40654,59564,68328,16442,10407,6344,0,0
209.68231529998593,29,40,1009519,247503,7397,47994,44250,30122,17392,10367,0,0
211.68478110001888,24,40,1045867,35769,21011,11975,15508,3685,3183,3464,0,0
213.68777829990722,27,34,1561940,154390,18946,6525,13700,17993,6714,7510,0,0
215.6905350999441,34,40,751770,72179,18922,14713,17908,5368,3901,2878,0,0
217.69271779991686,27,41,801000,110564,23332,3329,7823,8285,2252,2206,0,0
220.69593589997385,23,37,575359,375429,50813,85116,25394,17198,8248,8646,0,0
221.69720579998102,21,56,283872,19452,9010,38377,10895,5767,797,1382,0,0
224.70088999997824,17,50,763351,11121,3925,1709,1442,1574,323,407,0,0
226.70439059997443,21,50,270248,154637,51663,18213,17736,11102,12128,7632,0,0
227.705878400011,21,48,51957,11583,10833,13551,6318,2823,3111,2907,0,0
228.7071835999377,27,63,849575,27502,10991,6772,4810,2357,2165,1637,0,0
229.70860519993585,27,63,148493,104848,22358,34492,19473,13869,12629,6230,0,0
230.71027189993765,48,57,2080264,80372,8422,18238,17325,32579,15896,14592,0,0
231.71169689996168,40,37,991052,426764,33908,13524,37246,18720,7137,5250,0,0
234.7154964999063,61,38,26017,19814,18375,15392,10750,22811,9269,4547,0,0
235.71696240000892,56,37,184876,65579,12660,9062,6222,3894,1198,1726,0,0
236.71851109992713,54,43,953793,51666,31407,19340,11865,26684,9707,7844,0,0
237.71966499998234,77,54,270940,54169,24223,26556,63103,31567,11303,6268,0,0
239.7220039999811,54,43,1002639,249883,24148,30397,58804,18337,13252,6729,0,0
240.7228477000026,60,53,119280,37091,32875,12608,8088,6188,3478,2950,0,0
243.72713249991648,41,53,1313806,455682,58745,191049,19347,29151,16947,10180,0,0
245.7294441999402,37,69,848064,25890,47033,61543,34562,22241,14514,13418,0,0
246.7311382999178,37,56,221102,59150,7970,5755,3057,5142,6814,3039,0,0
251.73658559995238,29,50,964403,164054,34369,13673,10785,5166,4003,4291,0,0
253.7388278999133,24,43,2566840,415037,28397,36103,42782,18721,12704,6297,0,0
254.74018580000848,8,23,911498,369217,8228,33393,12467,12485,5441,11540,0,0
255.7415914000012,3,29,2902069,142099,15110,64553,32366,9694,10424,2831,0,0
257.74381469993386,8,34,1345120,286929,105085,32692,18279,20259,9827,10412,0,0
259.7455069000134,21,30,73307,7812,431,626,836,1283,927,425,0,0
260.7469203999499,26,37,337045,523054,91231,12444,18781,28500,6360,4648,0,0
261.74855629995,47,34,1162700,95344,8241,41113,40780,46116,9290,3649,0,0
263.75090310000814,48,34,267409,67944,31333,13034,16460,6338,3130,3969,0,0
264.7529807999963,26,38,436851,152267,17553,21191,9223,3445,2597,800,0,0
267.7565566999838,47,47,409861,4634,11406,1690,16954,5472,4680,3443,0,0
270.75996289995965,24,60,584697,76825,105782,62378,58829,9491,8422,7521,0,0
273.76366469997447,21,56,783099,128660,8931,45318,33526,7556,2205,2386,0,0
274.7655147999758,48,64,872523,18216,18315,2764,8557,9987,2280,1517,0,0
276.7689303999068,41,70,955463,60090,74107,7929,10747,24484,2287,1503,0,0
279.7711717999773,60,57,980685,43653,12084,6529,11208,15220,5142,1339,0,0
282.7748312000185,78,53,99359,34265,6683,3436,6336,9740,2005,1080,0,0
286.78185039991513,44,30,1002662,53645,10962,17005,5444,3876,4092,2168,0,0
287.7825916999718,24,44,773188,46645,55195,36578,22745,4744,4116,2616,0,0
291.78728279995266,8,54,1074262,720517,32287,40305,28423,18276,13127,7107,0,0
293.7908350999933,14,51,1308882,69938,14129,17936,38214,10076,1788,3631,0,0
295.79276779992506,29,38,73566,38213,2279,9164,2482,6784,2348,1309,0,0
296.794816599926,23,20,443428,71668,4859,2334,10106,2934,1566,1708,0,0
298.79731369996443,27,38,1182329,169361,141373,28043,30364,12344,9723,10495,0,0
299.79872039996553,10,27,79144,206945,6209,10501,3771,3531,2269,2061,0,0
301.8010814000154,1,27,1041685,228347,57675,7946,23765,19018,5677,3701,0,0
303.80381369998213,4,27,206815,223266,12699,10476,10863,11359,7208,2396,0,0
304.8061075999867,11,24,248756,70035,40803,12344,17517,8460,18957,4636,0,0
307.8097595999716,35,35,315802,45180,12716,6154,9695,11024,5074,2104,0,0
308.81087789998855,26,38,537338,197246,57727,8893,4243,9081,8678,3082,0,0
309.81218239990994,40,53,902504,27279,5609,15931,4682,7653,2280,1504,0,0
311.8151652999222,35,43,1393290,797852,51311,106533,94217,43075,14817,6406,0,0
312.8172371999826,40,44,1097554,165062,17982,72303,29432,59653,20982,15407,0,0
314.8203693999676,54,51,1400388,133518,101090,34164,8681,41250,14729,6360,0,0
315.82250399992336,48,48,300407,90857,6516,27407,9802,9378,11744,9268,0,0
316.8238831999479,44,51,2915172,533908,12559,128740,15503,25649,13572,6244,0,0
318.8258493000176,30,48,1791570,359192,68450,35935,30474,30374,12754,29358,0,0
320.828441599966,24,37,158864,173945,21039,20717,11861,17679,6059,3463,0,0
323.83309470000677,27,37,227722,42493,9449,8090,7524,6143,2279,1985,0,0
325.8356830999255,47,47,522040,31240,47526,10989,30473,19872,16395,17256,0,0
326.8371827999363,48,61,126408,11788,4110,3447,1598,1338,447,363,0,0
327.838284599944,40,60,107141,43949,11220,727,3053,2536,2044,2476,0,0
329.8409037999809,24,53,1536858,256591,91933,32340,55420,18744,18108,5234,0,0
330.8417567999568,13,44,70361,57592,6942,8244,8165,1854,2558,3293,0,0
331.84314909996465,24,48,299125,28189,23770,23556,17404,14749,7016,6542,0,0
332.844917899929,34,47,327797,92280,9352,14454,11921,12633,13323,7501,0,0
333.8477332999464,44,40,124295,26317,5341,2640,9664,6113,2041,764,0,0
338.8529161999468,56,40,300676,226950,29621,27413,13703,22463,4357,6409,0,0
340.8547201999463,43,26,226852,113482,16630,8381,12399,9112,3260,2369,0,0
342.857352299965,44,38,428782,37832,25436,8878,3787,8179,4623,2294,0,0
343.8590954999672,43,53,170028,22433,23778,18001,4509,9047,2166,1253,0,0
344.86097609996796,48,47,150049,88653,6729,3667,14028,12593,10735,5517,0,0
346.8639883999713,34,53,346561,120240,24905,23336,5938,2444,1402,1611,0,0
349.8671520999633,29,47,355909,413813,42155,133973,83758,54787,10061,5902,0,0
351.8706807999406,20,34,672411,166230,22608,32789,8362,11013,5361,6773,0,0
352.87259809998795,7,38,689764,360867,28919,30575,25186,13797,17616,13643,0,0
355.8767138000112,24,30,231310,91369,12593,4504,10900,10068,1806,2156,0,0
360.8815295000095,21,35,1347352,338571,98172,104635,79064,38753,14239,7198,0,0
361.8834321999457,38,48,104651,7149,18282,6607,3233,7035,2139,1815,0,0
362.88564049999695,48,66,41628,45007,66790,14944,7654,12613,5455,3724,0,0
364.88850819994695,56,77,156689,24076,12252,12750,16902,8938,2358,4048,0,0
365.89031179994345,57,81,605118,68911,44233,18172,9612,10293,12930,3981,0,0
366.89159529993776,60,61,86291,43282,2842,7824,3657,14520,3229,6260,0,0
369.8944956000196,60,51,848539,612522,144990,114188,135172,86207,10406,16189,0,0
370.8956931999419,51,38,851934,293626,14129,20005,23368,27614,10806,8773,0,0
372.89900679991115,51,51,182852,21424,30441,5432,11111,13007,4839,2505,0,0
377.90496790001635,38,43,191194,94221,4368,9482,13236,3222,1904,1673,0,0
379.90706659993157,38,51,389325,110355,16484,32303,35035,12192,10812,5572,0,0
381.90987069997936,30,41,2152852,354727,40848,62409,78722,21184,9798,5976,0,0
382.91126039996743,24,30,194359,62742,11500,12159,17540,9817,10046,7562,0,0
383.91335029993206,44,44,775795,12791,8544,2519,2386,4952,1938,3167,0,0
384.91561829997227,44,41,175048,144617,18609,15034,24813,12190,3540,13192,0,0
387.91888609994203,61,43,1105001,47263,18212,8118,22424,17743,3592,2171,0,0
389.9211799999466,50,54,744134,170935,161601,87701,71858,15338,14575,11128,0,0
390.9220682999585,34,40,834187,200237,17450,9143,27802,10407,8642,9518,0,0
391.92477879999205,29,43,645549,37336,9712,2793,6125,2124,1472,1386,0,0
