time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
227.35067580000032,53,38,554759,23243,14780,12571,5475,14026,2694,2446,0,0
228.3544266000008,53,50,12239,13522,30592,12238,6343,3231,2190,2143,0,0
229.35552580000058,53,60,13141,9826,5938,17796,2095,10447,3454,2247,0,0
230.35958310000024,57,63,50304,50604,13355,2355,5181,9115,3033,1322,0,0
231.36546400000043,38,54,34062,25476,1361,4122,1140,799,569,633,0,0
232.37680060000002,37,41,418768,53658,12986,12201,11134,3122,1836,1043,0,0
233.38349760000074,21,29,86662,74549,9884,12925,18127,4055,2129,2116,0,0
237.41003630000068,10,35,1159344,65715,15287,20328,7323,2790,1390,567,0,0
238.41440760000023,13,30,572870,88308,2160,10988,7911,3938,2618,2519,0,0
239.4154937000003,8,35,471203,97507,34812,28617,11503,3287,3767,2454,0,0
240.42429700000048,1,38,1236979,71325,29957,18809,3699,2832,1589,779,0,0
241.4325703000004,1,53,368349,50526,44614,5764,3719,2751,2614,1729,0,0
242.44813280000017,13,60,125852,8920,16191,4985,2306,3865,778,442,0,0
243.4574476000007,24,69,33978,15889,17460,4441,3634,4047,2019,2322,0,0
244.46546750000016,26,60,411496,93306,7490,11980,3706,3099,1833,2016,0,0
245.46968410000045,17,47,314427,397961,25396,28038,15910,3374,7157,2803,0,0
248.4821068000001,16,35,285397,12869,319,5102,1374,2111,335,537,0,0
249.49648940000043,10,35,71031,13138,11320,1937,1000,990,2343,670,0,0
252.52649350000047,11,20,947241,519297,11376,5909,31373,20956,9329,19217,0,0
254.53998600000068,35,24,1583452,80406,17362,9125,10499,15557,1611,5934,0,0
255.54905159999998,27,14,295542,34191,2280,1495,3540,2093,1201,878,0,0
256.5617291000008,51,37,10998,10998,3938,6768,4559,5796,2758,1790,0,0
257.56819560000076,57,50,26821,6930,17759,5296,3689,9548,864,2588,0,0
258.5767813000002,60,74,53598,17919,74849,10263,2960,5571,4650,2185,0,0
261.6164140000001,54,78,7485,20690,21347,8781,7072,7456,3396,3161,0,0
262.62968770000043,44,78,8424,14723,26372,4092,6294,3628,3416,3434,0,0
263.63543800000025,41,74,68478,57164,12706,13346,16827,10677,3119,2348,0,0
264.6468512000001,44,54,684381,77191,12969,18192,9743,8760,1829,2573,0,0
265.6526593000008,44,57,5923,10192,18992,2268,3107,4486,2010,2513,0,0
266.66282540000066,44,63,1946,8291,16587,30807,7597,4115,2356,1332,0,0
267.6686279000005,43,63,1778,17794,3433,3508,2627,2400,1821,860,0,0
268.6762761,40,54,81216,47928,4194,2473,3092,3235,924,566,0,0
269.68356850000055,30,51,10549,32059,14109,12704,6252,2337,2535,2236,0,0
